category,member_count,source_bytes,archive_bytes,archive_sha256,manifest,archive
evaluation_non_json,123,8905131,963153,ae7354e2d5749729e11e2efc1158d911b826009a5d27757bf68f9b985bab99c2,data/archive/final_2200_cleanup_20260911/evaluation_non_json/manifest.csv,data/archive/final_2200_cleanup_20260911/evaluation_non_json/files.tar.zst
evaluation_result,6913,159800274,17936515,5eb6bc517ae96923ec76b5ab39fe52bdbcbde993e5e8a8589d79a230ddaacda3,data/archive/final_2200_cleanup_20260911/evaluation_result/manifest.csv,data/archive/final_2200_cleanup_20260911/evaluation_result/files.tar.zst
generation_checkpoint,574,11142008,2937397,696d1e71a46d07a29c74d677c6f61662799eb31f426acd1ebc5487839d07582b,data/archive/final_2200_cleanup_20260911/generation_checkpoint/manifest.csv,data/archive/final_2200_cleanup_20260911/generation_checkpoint/files.tar.zst
generation_raw_shard,37152,413754797,23304890,84b29f4192348fc00f5b212c0870b06f6bd3054141930d43fdf1f1bc21cba9e0,data/archive/final_2200_cleanup_20260911/generation_raw_shard/manifest.csv,data/archive/final_2200_cleanup_20260911/generation_raw_shard/files.tar.zst
generation_selection_or_provenance,878,127447340,12293180,11fb0bec68044d7868321c8f913edb1e86ccf59af770b3734d96b10e29e31a11,data/archive/final_2200_cleanup_20260911/generation_selection_or_provenance/manifest.csv,data/archive/final_2200_cleanup_20260911/generation_selection_or_provenance/files.tar.zst
historical_or_upstream_dataset,10,19971440,2065727,9c0e75613ce063e8b68588fc7900166c3339872dcd7b502cfb07ce134baef240,data/archive/final_2200_cleanup_20260911/historical_or_upstream_dataset/manifest.csv,data/archive/final_2200_cleanup_20260911/historical_or_upstream_dataset/files.tar.zst
historical_qa_artifact,338,24660082,6665193,1543a7bd0fb9bbf1c03d724b54721954d8e17ca94715b8b9e004959e972d3bcd,data/archive/final_2200_cleanup_20260911/historical_qa_artifact/manifest.csv,data/archive/final_2200_cleanup_20260911/historical_qa_artifact/files.tar.zst
model_or_cleaning_review,4168,112664763,19631798,54d8788dadea0333ca7d481cb9c1f8534ec27085eff6a8301fcfcbfc654f4a11,data/archive/final_2200_cleanup_20260911/model_or_cleaning_review/manifest.csv,data/archive/final_2200_cleanup_20260911/model_or_cleaning_review/files.tar.zst
model_output,53,70600370,7555729,738f4be17dadc31902b5e1773c41d8387c96370a90e41f6017179f63af5f6dfb,data/archive/final_2200_cleanup_20260911/model_output/manifest.csv,data/archive/final_2200_cleanup_20260911/model_output/files.tar.zst
qa_non_json_provenance,9295,32879692,5123983,8090217668722073364457b6f94da917fff2302b06ef3e14478835e89b31bbb6,data/archive/final_2200_cleanup_20260911/qa_non_json_provenance/manifest.csv,data/archive/final_2200_cleanup_20260911/qa_non_json_provenance/files.tar.zst
