model,metric,paper,denominator,correct_known,pending_judge,minimum,maximum,exact,difference,status
MiniCPM-V 2.6,All,15.59,2200,0,0,0.0,0.0,0.0,-15.59,PROVEN_MISMATCH
MiniCPM-V 2.6,Computer Science,16.51,743,0,0,0.0,0.0,0.0,-16.51,PROVEN_MISMATCH
MiniCPM-V 2.6,Physics,18.73,379,0,0,0.0,0.0,0.0,-18.73,PROVEN_MISMATCH
MiniCPM-V 2.6,Statistics,15.85,367,0,0,0.0,0.0,0.0,-15.85,PROVEN_MISMATCH
MiniCPM-V 2.6,Mathematics,10.2,245,0,0,0.0,0.0,0.0,-10.2,PROVEN_MISMATCH
MiniCPM-V 2.6,Electrical Engineering and Systems Science,10.16,129,0,0,0.0,0.0,0.0,-10.16,PROVEN_MISMATCH
MiniCPM-V 2.6,Economics,16.06,137,0,0,0.0,0.0,0.0,-16.06,PROVEN_MISMATCH
MiniCPM-V 2.6,Quantitative Biology,15.79,114,0,0,0.0,0.0,0.0,-15.79,PROVEN_MISMATCH
MiniCPM-V 2.6,Quantitative Finance,15.12,86,0,0,0.0,0.0,0.0,-15.12,PROVEN_MISMATCH
InternVL2.5-8B,All,22.32,2200,0,0,0.0,0.0,0.0,-22.32,PROVEN_MISMATCH
InternVL2.5-8B,Computer Science,21.34,743,0,0,0.0,0.0,0.0,-21.34,PROVEN_MISMATCH
InternVL2.5-8B,Physics,26.39,379,0,0,0.0,0.0,0.0,-26.39,PROVEN_MISMATCH
InternVL2.5-8B,Statistics,24.32,367,0,0,0.0,0.0,0.0,-24.32,PROVEN_MISMATCH
InternVL2.5-8B,Mathematics,13.88,245,0,0,0.0,0.0,0.0,-13.88,PROVEN_MISMATCH
InternVL2.5-8B,Electrical Engineering and Systems Science,17.97,129,0,0,0.0,0.0,0.0,-17.97,PROVEN_MISMATCH
InternVL2.5-8B,Economics,32.12,137,0,0,0.0,0.0,0.0,-32.12,PROVEN_MISMATCH
InternVL2.5-8B,Quantitative Biology,19.3,114,0,0,0.0,0.0,0.0,-19.3,PROVEN_MISMATCH
InternVL2.5-8B,Quantitative Finance,23.26,86,0,0,0.0,0.0,0.0,-23.26,PROVEN_MISMATCH
Gemma 3 27B,All,47.32,2200,1,0,0.045454545454545456,0.045454545454545456,0.045454545454545456,-47.27454545454545,PROVEN_MISMATCH
Gemma 3 27B,Computer Science,50.34,743,0,0,0.0,0.0,0.0,-50.34,PROVEN_MISMATCH
Gemma 3 27B,Physics,51.72,379,1,0,0.2638522427440633,0.2638522427440633,0.2638522427440633,-51.456147757255934,PROVEN_MISMATCH
Gemma 3 27B,Statistics,47.81,367,0,0,0.0,0.0,0.0,-47.81,PROVEN_MISMATCH
Gemma 3 27B,Mathematics,32.24,245,0,0,0.0,0.0,0.0,-32.24,PROVEN_MISMATCH
Gemma 3 27B,Electrical Engineering and Systems Science,41.41,129,0,0,0.0,0.0,0.0,-41.41,PROVEN_MISMATCH
Gemma 3 27B,Economics,57.66,137,0,0,0.0,0.0,0.0,-57.66,PROVEN_MISMATCH
Gemma 3 27B,Quantitative Biology,38.6,114,0,0,0.0,0.0,0.0,-38.6,PROVEN_MISMATCH
Gemma 3 27B,Quantitative Finance,46.51,86,0,0,0.0,0.0,0.0,-46.51,PROVEN_MISMATCH
