Model,Dataset,Source Dataset,Subset,Samples,Fixed Denominator,Present Samples,Missing vs Fixed Denominator,Over Present vs Fixed Denominator,Answer Judged,Correct,Partial,Wrong,Technical Failure,Semantic Strict Accuracy,Answer Accuracy,Evidence Correct,Evidence Accuracy,E_Precision,E_Recall,E_F1,Avg Pred Pages,Both Correct,Both Accuracy,Result File
MiniCPM-V-2.6,ordinary1190,ordinary1190,all,1200,1200,1200,0,0,1200,224,33,943,0,0.18666666666666668,0.18666666666666668,196,0.16333333333333333,0.1656547619047619,0.16527777777777777,0.16514814814814816,0.06166666666666667,79,0.06583333333333333,data/results/MiniCPM-V-2.6/ordinary1190.json
MiniCPM-V-2.6,ordinary1190_answerable,ordinary1190,answerable,1000,1000,1000,0,0,1000,147,33,820,0,0.147,0.147,5,0.005,0.007785714285714286,0.007333333333333333,0.007177777777777778,0.063,2,0.002,data/results/MiniCPM-V-2.6/ordinary1190.json
MiniCPM-V-2.6,ordinary1190_unanswerable,ordinary1190,unanswerable,200,200,200,0,0,200,77,0,123,0,0.385,0.385,191,0.955,0.955,0.955,0.955,0.055,77,0.385,data/results/MiniCPM-V-2.6/ordinary1190.json
MiniCPM-V-2.6,cross_old400,cross_old400,all,400,400,398,2,0,387,60,24,303,11,0.15,0.15,1,0.0025,0.006666666666666666,0.007291666666666666,0.006880952380952381,0.2025,0,0.0,data/results/MiniCPM-V-2.6/cross_old400.json
MiniCPM-V-2.6,cross_hard400,cross_hard400,all,400,400,400,0,0,395,40,27,328,5,0.1,0.1,0,0.0,0.006666666666666666,0.003922619047619047,0.004878968253968254,0.195,0,0.0,data/results/MiniCPM-V-2.6/cross_hard400.json
MiniCPM-V-2.6,reasoning_old100,reasoning_old100,all,100,100,100,0,0,100,6,6,88,0,0.06,0.06,0,0.0,0.01,0.003333333333333333,0.005,0.02,0,0.0,data/results/MiniCPM-V-2.6/reasoning_old100.json
MiniCPM-V-2.6,reasoning_hard100,reasoning_hard100,all,100,100,100,0,0,100,13,9,78,0,0.13,0.13,0,0.0,0.01,0.002,0.0033333333333333335,0.01,0,0.0,data/results/MiniCPM-V-2.6/reasoning_hard100.json
InternVL25-8B,ordinary1190,ordinary1190,all,1200,1200,1200,0,0,1200,308,33,859,0,0.25666666666666665,0.25666666666666665,121,0.10083333333333333,0.1887036173942055,0.3361805555555556,0.20211072034685104,4.784166666666667,87,0.0725,data/results/InternVL25-8B/ordinary1190.json
InternVL25-8B,ordinary1190_answerable,ordinary1190,answerable,1000,1000,1000,0,0,1000,244,33,723,0,0.244,0.244,51,0.051,0.1564443408730466,0.3334166666666667,0.17253286441622126,5.34,23,0.023,data/results/InternVL25-8B/ordinary1190.json
InternVL25-8B,ordinary1190_unanswerable,ordinary1190,unanswerable,200,200,200,0,0,200,64,0,136,0,0.32,0.32,70,0.35,0.35,0.35,0.35,2.005,64,0.32,data/results/InternVL25-8B/ordinary1190.json
InternVL25-8B,cross_old400,cross_old400,all,400,400,398,2,0,397,64,20,313,1,0.16,0.16,6,0.015,0.09489733295025662,0.15648214285714285,0.09427619850259043,4.4425,1,0.0025,data/results/InternVL25-8B/cross_old400.json
InternVL25-8B,cross_hard400,cross_hard400,all,400,400,400,0,0,400,50,29,321,0,0.125,0.125,0,0.0,0.061523858061282265,0.3054255952380952,0.08637569620097876,11.9975,0,0.0,data/results/InternVL25-8B/cross_hard400.json
InternVL25-8B,reasoning_old100,reasoning_old100,all,100,100,100,0,0,100,45,2,53,0,0.45,0.45,2,0.02,0.26248528030974067,0.5703333333333334,0.28945750932598563,11.92,1,0.01,data/results/InternVL25-8B/reasoning_old100.json
InternVL25-8B,reasoning_hard100,reasoning_hard100,all,100,100,100,0,0,100,24,5,71,0,0.24,0.24,1,0.01,0.2334836241979036,0.5621666666666667,0.24667829009343423,11.99,1,0.01,data/results/InternVL25-8B/reasoning_hard100.json
MiniCPM-V-4.5,ordinary1190,ordinary1190,all,1200,1200,1200,0,0,1199,576,42,581,1,0.48,0.48,175,0.14583333333333334,0.24359759907938075,0.2207638888888889,0.21765915531338184,1.4025,111,0.0925,data/results/MiniCPM-V-4.5/ordinary1190.json
MiniCPM-V-4.5,ordinary1190_answerable,ordinary1190,answerable,1000,1000,1000,0,0,999,546,42,411,1,0.546,0.546,137,0.137,0.2543171188952569,0.22691666666666666,0.22319098637605822,1.506,82,0.082,data/results/MiniCPM-V-4.5/ordinary1190.json
MiniCPM-V-4.5,ordinary1190_unanswerable,ordinary1190,unanswerable,200,200,200,0,0,200,30,0,170,0,0.15,0.15,38,0.19,0.19,0.19,0.19,0.885,29,0.145,data/results/MiniCPM-V-4.5/ordinary1190.json
MiniCPM-V-4.5,cross_old400,cross_old400,all,400,400,400,0,0,391,37,42,312,9,0.0925,0.0925,5,0.0125,0.10944444444444444,0.08474999999999999,0.09075811688311688,1.465,1,0.0025,data/results/MiniCPM-V-4.5/cross_old400.json
MiniCPM-V-4.5,cross_hard400,cross_hard400,all,400,400,400,0,0,400,49,68,283,0,0.1225,0.1225,1,0.0025,0.1204642857142857,0.0628125,0.0781243894993895,1.43,1,0.0025,data/results/MiniCPM-V-4.5/cross_hard400.json
MiniCPM-V-4.5,reasoning_old100,reasoning_old100,all,100,100,100,0,0,100,47,3,50,0,0.47,0.47,0,0.0,0.2286111111111111,0.10783333333333334,0.13204761904761905,1.47,0,0.0,data/results/MiniCPM-V-4.5/reasoning_old100.json
MiniCPM-V-4.5,reasoning_hard100,reasoning_hard100,all,100,100,100,0,0,100,46,3,51,0,0.46,0.46,0,0.0,0.335,0.15416666666666667,0.20442857142857143,1.25,0,0.0,data/results/MiniCPM-V-4.5/reasoning_hard100.json
InternVL35-8B,ordinary1190,ordinary1190,all,1200,1200,1190,10,0,941,368,38,535,249,0.30666666666666664,0.30666666666666664,272,0.22666666666666666,0.3437168350261423,0.33413194444444444,0.32461361918427134,1.1766666666666667,103,0.08583333333333333,data/results/InternVL35-8B/ordinary1190.json
InternVL35-8B,ordinary1190_answerable,ordinary1190,answerable,1000,1000,1000,0,0,789,363,38,388,211,0.363,0.363,229,0.229,0.3694602020313708,0.3579583333333333,0.3465363430211256,1.225,98,0.098,data/results/InternVL35-8B/ordinary1190.json
InternVL35-8B,ordinary1190_unanswerable,ordinary1190,unanswerable,200,200,190,10,0,152,5,0,147,38,0.025,0.025,43,0.215,0.215,0.215,0.215,0.935,5,0.025,data/results/InternVL35-8B/ordinary1190.json
InternVL35-8B,cross_old400,cross_old400,all,400,400,400,0,0,400,180,59,161,0,0.45,0.45,13,0.0325,0.2171388015139814,0.28572619047619047,0.22111758216972266,4.8825,6,0.015,data/results/InternVL35-8B/cross_old400.json
InternVL35-8B,cross_hard400,cross_hard400,all,400,400,400,0,0,400,115,77,208,0,0.2875,0.2875,2,0.005,0.2723610849165551,0.295510878010878,0.21863726941383937,10.6425,0,0.0,data/results/InternVL35-8B/cross_hard400.json
InternVL35-8B,reasoning_old100,reasoning_old100,all,100,100,100,0,0,100,58,10,32,0,0.58,0.58,0,0.0,0.35416483516483516,0.21849999999999997,0.24532287157287158,1.99,0,0.0,data/results/InternVL35-8B/reasoning_old100.json
InternVL35-8B,reasoning_hard100,reasoning_hard100,all,100,100,100,0,0,100,48,9,43,0,0.48,0.48,0,0.0,0.3525921419033547,0.3103333333333333,0.27003395134277486,3.63,0,0.0,data/results/InternVL35-8B/reasoning_hard100.json
Gemma3-27B-IT,ordinary1190,ordinary1190,all,1200,1200,1200,0,0,1200,598,31,571,0,0.49833333333333335,0.49833333333333335,268,0.22333333333333333,0.37017004985754987,0.38152777777777774,0.3577565237382311,1.4258333333333333,175,0.14583333333333334,data/results/Gemma3-27B-IT/ordinary1190.json
Gemma3-27B-IT,ordinary1190_answerable,ordinary1190,answerable,1000,1000,1000,0,0,1000,570,31,399,0,0.57,0.57,240,0.24,0.41620405982905984,0.4298333333333333,0.40130782848587726,1.501,147,0.147,data/results/Gemma3-27B-IT/ordinary1190.json
Gemma3-27B-IT,ordinary1190_unanswerable,ordinary1190,unanswerable,200,200,200,0,0,200,28,0,172,0,0.14,0.14,28,0.14,0.14,0.14,0.14,1.05,28,0.14,data/results/Gemma3-27B-IT/ordinary1190.json
Gemma3-27B-IT,cross_old400,cross_old400,all,400,400,398,2,0,387,223,31,133,11,0.5575,0.5575,25,0.0625,0.29091666666666666,0.273625,0.27479040404040406,2.195,16,0.04,data/results/Gemma3-27B-IT/cross_old400.json
